,ID,Name,Market,Category,Capital,PER,EPS,ROE,PBR,BPS,Group_PER,Revenue,Operating_Income,Net_Income,Dividend,Debt,Debt_continuous,Retention,Retention_Continuous,Open,High,Low,Close,DaytoDay,Volume,Highest_Price,Highest_Date,update_date,Group
32,640,동아쏘시오홀딩스,KOSPI,제약,6571,11.96,-3010,6.5,0.74,154410,80.45,2341,176,-189,1.3,71.71,2,3414.36,1,101500,103500,101500,103500,2000,5405,140000,2020-12-08,2022-05-13 6:36,0
33,650,천일고속,KOSPI,도로와철도운송,936,-169.35,-1545,-1.54,2.67,25177,10.85,81,-16,-22,3.71,74.53,2,181.45,1,66800,66800,65200,65500,700,188,92900,2021-05-27,2022-05-13 6:36,0
34,660,SK하이닉스,KOSPI,반도체와반도체장비,819003,9.93,4556,16.84,1.45,90394,10.0,123766,42195,33199,1.18,54.98,1,1643.64,5,109000,112500,109000,112500,3500,3988166,134000,2021-03-02,2022-05-13 7:11,0
35,670,영풍,KOSPI,핸드셋,12047,9.72,1446,3.66,0.33,2011830,28.56,9895,-61,271,1.53,41.48,1,37677.4,5,632000,654000,632000,654000,19000,1331,767000,2021-05-11,2022-05-13 6:36,0
36,700,유수홀딩스,KOSPI,항공화물운송과물류,1557,6.83,305,7.79,0.48,13108,11.06,1506,90,144,6.35,22.95,4,421.75,4,5810,6050,5810,5980,180,21854,8470,2021-04-28,2022-05-13 7:11,0
37,720,현대건설,KOSPI,건설,47271,12.18,1129,5.88,0.69,64200,7.5,51805,1913,1266,1.35,108.26,1,1198.84,5,41550,42450,41400,42450,1550,390515,60227,2021-07-06,2022-05-13 6:55,0
38,725,현대건설우,KOSPI,건설,707,12.18,1129,5.88,0.69,64200,7.5,51805,1913,1266,0.88,108.26,1,1198.84,5,64800,67000,64800,67000,1700,2031,256409,2020-06-26,2022-05-13 6:36,0
39,810,삼성화재,KOSPI,손해보험,96171,9.1,1101,7.07,0.56,363848,6.71,59407,725,561,5.94,512.78,1,64024.1,2,202000,206000,199000,203000,3500,89546,253000,2019-05-24,2022-05-13 6:55,0
40,815,삼성화재우,KOSPI,손해보험,5203,9.1,1101,7.07,0.56,363848,6.71,59407,725,561,7.55,512.78,1,64024.1,2,162500,163500,162000,163000,500,4948,188500,2019-07-01,2022-05-13 6:56,0
41,850,화천기공,KOSPI,기계,759,7.52,409,3.31,0.24,140159,18.48,557,3,9,2.92,37.97,1,2023.09,4,34850,34850,34000,34500,400,7073,40500,2019-06-27,2022-05-13 7:12,0
42,860,강남제비스코,KOSPI,건축자재,1563,2.99,-5587,9.54,0.27,90881,21.9,1678,-65,-359,2.0,36.57,1,8967.8,1,23800,24300,23700,24050,300,4617,35550,2021-07-14,2022-05-13 6:37,0
43,880,한화,KOSPI,생명보험,21326,3.41,1246,20.22,0.6,52527,4.75,139040,7373,2543,2.39,861.49,1,1045.63,5,28100,28500,27950,28450,400,124812,37300,2021-01-26,2022-05-13 6:56,0
44,885,한화우,KOSPI,생명보험,175,3.41,1246,20.22,0.6,52527,4.75,139040,7373,2543,2.07,861.49,1,1045.63,5,35850,36500,35850,36500,500,1053,62800,2020-06-19,2022-05-13 6:37,0
45,00088K,한화3우B,KOSPI,생명보험,3517,3.41,1246,20.22,0.6,52527,4.75,139040,7373,2543,5.0,861.49,1,1045.63,5,15400,15650,15400,15650,150,25479,17050,2021-09-07,2022-05-13 6:56,0
46,910,유니온,KOSPI,건축자재,1073,13.57,-1717,6.78,0.9,8391,21.9,560,18,-267,1.66,99.38,1,1435.41,1,6900,7010,6840,6870,10,139791,9600,2020-07-27,2022-05-13 7:13,0
47,970,한국주철관,KOSPI,철강,2314,3.16,1315,21.36,0.58,15753,4.1,1391,56,301,4.4,21.96,4,2754.65,5,9900,10150,9900,10150,250,82412,11100,2019-06-26,2022-05-13 6:57,0
48,990,DB하이텍,KOSPI,반도체와반도체장비,30813,10.21,2637,33.35,2.86,25449,10.0,3679,1381,1174,0.62,40.13,1,431.38,5,68500,70200,68000,69400,1100,595269,85400,2022-01-14,2022-05-13 7:14,0
49,995,DB하이텍1우,KOSPI,반도체와반도체장비,111,10.21,2637,33.35,2.86,25449,10.0,3679,1381,1174,0.49,40.13,1,431.38,5,95500,99000,95500,99000,1300,214,143000,2020-09-16,2022-05-13 6:38,0
50,1040,CJ,KOSPI,복합기업,24538,10.82,2171,5.66,0.55,151085,7.7,92835,3693,1990,2.76,154.84,1,2682.28,4,83300,84600,83000,84100,900,30679,118000,2021-01-15,2022-05-13 6:57,0
51,1045,CJ우,KOSPI,복합기업,1173,10.82,2171,5.66,0.55,151085,7.7,92835,3693,1990,4.37,154.84,1,2682.28,4,51400,51900,51100,51900,800,774,67800,2021-06-01,2022-05-13 6:38,0
52,00104K,CJ4우(전환),KOSPI,복합기업,3145,10.82,2171,5.66,0.55,151085,7.7,92835,3693,1990,3.26,154.84,1,2682.28,4,73500,74500,73400,74400,500,3588,92400,2021-06-03,2022-05-13 6:38,0
53,1060,JW중외제약,KOSPI,제약,5556,-554.08,-286,-0.47,2.64,8652,80.45,1695,123,-67,1.38,235.77,1,271.36,1,24850,25250,24500,25050,450,141866,31900,2020-08-06,2022-05-13 6:58,0
54,1065,JW중외제약우,KOSPI,제약,69,-554.08,-286,-0.47,2.64,8652,80.45,1695,123,-67,1.02,235.77,1,271.36,1,38000,38000,37950,37950,50,41,70795,2020-08-12,2022-05-13 6:38,0
55,1067,JW중외제약2우B,KOSPI,제약,71,-554.08,-286,-0.47,2.64,8652,80.45,1695,123,-67,0.53,235.77,1,271.36,1,69100,69100,68900,69000,100,20,92909,2020-08-13,2022-05-13 6:39,0
56,1080,만호제강,KOSPI,철강,1038,21.94,99,1.91,0.29,79080,4.07,642,-2,4,0.88,12.82,2,5958.68,2,24650,25250,24650,25000,250,10209,29250,2021-05-11,2022-05-13 6:39,0
57,1120,LX인터내셔널,KOSPI,무역회사와판매업체,14671,2.93,2378,22.49,0.54,49349,6.65,45506,2076,1533,8.7,182.98,4,837.29,5,38100,38200,36900,37850,50,330057,42500,2022-04-25,2022-05-13 7:15,0
58,1130,대한제분,KOSPI,식품,2822,2.99,-2531,10.53,0.29,534606,11.83,3141,13,-43,1.62,50.08,1,10303.2,1,164500,168500,164000,167000,3000,7396,201500,2019-05-31,2022-05-13 6:59,0
59,1200,유진투자증권,KOSPI,증권,3298,3.84,162,9.93,0.35,10239,3.26,3334,214,157,3.89,854.97,2,79.78,5,3220,3420,3220,3405,175,680927,5000,2021-05-27,2022-05-13 6:59,0
60,1230,동국제강,KOSPI,철강,17035,2.76,1942,23.41,0.56,28552,4.1,21195,1881,1844,2.52,127.65,4,266.48,5,17650,17950,17550,17850,300,423323,25900,2021-04-29,2022-05-13 7:16,0
61,1270,부국증권,KOSPI,증권,2561,4.23,563,12.68,0.33,74017,3.26,1774,99,75,6.54,149.98,4,973.31,5,24550,25000,24300,24700,250,1858,29400,2022-04-26,2022-05-13 6:40,0
62,1275,부국증권우,KOSPI,증권,644,4.23,563,12.68,0.33,74017,3.26,1774,99,75,7.52,149.98,4,973.31,5,21300,21450,21300,21450,150,521,23400,2021-11-15,2022-05-13 6:40,0
63,1340,백광산업,KOSPI,화학,2349,15.56,105,8.12,1.2,4293,8.16,516,47,47,0.97,89.52,1,428.6,5,5160,5260,5150,5230,100,168506,8140,2021-06-09,2022-05-13 7:00,0
64,1390,KG케미칼,KOSPI,에너지장비및서비스,5373,5.71,-297,17.39,0.9,34343,29.56,13523,888,106,1.63,173.28,2,637.85,1,44500,52400,37800,38750,7850,8599463,52600,2022-04-20,2022-05-13 7:01,0
65,1420,태원물산,KOSPI,자동차부품,392,544.24,14,0.26,1.36,4273,12.71,36,-1,1,0.94,19.49,1,745.42,2,5160,5220,5120,5160,0,25115,6530,2021-06-30,2022-05-13 7:01,0
66,1430,세아베스틸,KOSPI,철강,6114,3.84,840,10.81,0.39,51306,4.1,9667,418,293,7.54,84.96,1,670.81,5,16550,17150,16500,17050,500,65766,36450,2021-06-24,2022-05-13 7:01,0
67,1450,현대해상,KOSPI,손해보험,27714,4.74,469,8.82,0.36,63866,6.71,47878,679,419,6.45,954.67,1,11255.0,4,31450,31450,30350,31000,300,333950,34200,2022-04-25,2022-05-13 7:01,0
68,1460,BYC,KOSPI,"섬유,의류,신발,호화품",2748,12.67,15024,6.39,0.78,577324,5.56,495,100,126,0.33,42.05,1,11380.6,5,436000,444000,432500,440000,6000,209,545000,2021-12-24,2022-05-13 6:41,0
69,1465,BYC우,KOSPI,"섬유,의류,신발,호화품",377,12.67,15024,6.39,0.78,577324,5.56,495,100,126,0.84,42.05,1,11380.6,5,175500,175500,173000,175000,0,51,215000,2021-12-23,2022-05-13 6:41,0
70,1500,현대차증권,KOSPI,증권,3314,4.06,393,10.58,0.41,29950,3.26,1691,165,152,6.48,658.69,4,499.0,5,10350,10500,10300,10450,150,53376,14950,2021-01-11,2022-05-13 6:41,0
71,1510,SK증권,KOSPI,증권,3889,11.9,-5,6.77,0.69,1448,3.26,2794,17,-18,1.5,929.84,2,175.53,5,810,830,810,823,11,1122744,1110,2020-07-02,2022-05-13 7:02,0
72,1515,SK증권우,KOSPI,증권,142,11.9,-5,6.77,0.69,1448,3.26,2794,17,-18,0.51,929.84,2,175.53,5,3610,3635,3600,3635,0,2670,5540,2020-07-02,2022-05-13 6:41,0
73,1520,동양,KOSPI,건축자재,3413,21.69,11,2.04,0.37,4010,21.9,1978,6,-12,2.73,28.48,1,716.54,4,1430,1450,1425,1430,5,465199,2785,2021-06-28,2022-05-13 6:41,0
74,1525,동양우,KOSPI,건축자재,49,21.69,11,2.04,0.37,4010,21.9,1978,6,-12,1.13,28.48,1,716.54,4,8010,8070,8000,8000,0,5845,20300,2021-05-14,2022-05-13 7:19,0
75,1527,동양2우B,KOSPI,건축자재,52,21.69,11,2.04,0.37,4010,21.9,1978,6,-12,0.95,28.48,1,716.54,4,16150,16900,16150,16900,750,158,45400,2021-05-14,2022-05-13 6:41,0
76,1529,동양3우B,KOSPI,건축자재,30,21.69,11,2.04,0.37,4010,21.9,1978,6,-12,0.46,28.48,1,716.54,4,34000,34000,33700,34000,0,1164,110000,2021-06-16,2022-05-13 6:41,0
77,1530,DI동일,KOSPI,"섬유,의류,신발,호화품",6405,16.86,407,8.01,0.95,29088,5.56,2324,129,118,0.71,73.17,2,4462.36,5,23350,25300,23350,25050,2100,177064,39394,2021-08-19,2022-05-13 7:19,0
78,1540,안국약품,KOSDAQ,제약,1330,35.43,241,2.72,0.84,12726,80.45,471,-15,30,2.06,45.95,1,2197.23,3,10000,10200,10000,10200,200,14889,15000,2020-09-03,2022-05-13 6:42,0
79,1560,제일연마,KOSPI,비철금속,956,14.33,105,6.81,0.69,12565,9.35,210,13,10,3.1,14.61,2,2044.19,4,9300,9750,9300,9560,160,35073,13700,2022-03-30,2022-05-13 6:42,0
80,1630,종근당홀딩스,KOSPI,제약,3231,23.96,53,2.96,0.7,109358,80.45,2138,-6,4,1.83,62.82,1,4307.72,5,63700,64700,63700,64500,600,17835,113000,2020-12-18,2022-05-13 6:42,0
81,1680,대상,KOSPI,식품,8367,5.82,1414,12.48,0.68,34063,11.83,9050,174,511,3.43,130.15,2,3449.2,5,23800,24200,23600,24150,350,85499,30850,2021-05-13,2022-05-13 6:42,0
82,1685,대상우,KOSPI,식품,255,5.82,1414,12.48,0.68,34063,11.83,9050,174,511,4.72,130.15,2,3449.2,5,18350,18800,18300,18600,200,10152,25650,2022-04-25,2022-05-13 6:42,0
83,1720,신영증권,KOSPI,증권,5322,10.77,281,6.88,0.35,169749,3.29,3191,85,62,7.01,695.21,1,1837.57,5,56600,57300,56500,56700,200,11968,66300,2021-06-11,2022-05-13 6:42,0
84,1725,신영증권우,KOSPI,증권,4021,10.77,281,6.88,0.35,169749,3.29,3191,85,62,7.25,695.21,1,1837.57,5,56900,57100,56800,57000,100,5092,70900,2021-04-22,2022-05-13 6:42,0
85,1740,SK네트웍스,KOSPI,복합기업,11851,12.63,-72,4.64,0.5,10056,7.7,29067,213,-199,2.39,293.93,2,252.63,1,4740,4775,4695,4775,125,392608,6410,2021-06-09,2022-05-13 6:43,0
